problem,classical_model,scheduling_model,data_folder,source,classical_source,instances_count,missing
AircraftLanding,examples/models/AircraftLanding/classical/AircraftLanding.py,examples/models/AircraftLanding/scheduling/AircraftLanding.py,examples/models/AircraftLanding/data,csplib+realistic+prob011,pycsp3-models,13,
BACP,examples/models/BACP/classical/BACP.py,examples/models/BACP/scheduling/BACP.py,examples/models/BACP/data,csplib+prob030,csplib:prob030,28,
BusScheduling,examples/models/BusScheduling/classical/BusScheduling.py,examples/models/BusScheduling/scheduling/BusScheduling.py,examples/models/BusScheduling/data,csplib+prob022,csplib:prob022,12,
CyclicRCPSP,examples/models/CyclicRCPSP/classical/CyclicRCPSP.py,examples/models/CyclicRCPSP/scheduling/CyclicRCPSP.py,examples/models/CyclicRCPSP/data,PyCSP3,pycsp3-models,10,
EchelonStock2,examples/models/EchelonStock2/classical/EchelonStock2.py,examples/models/EchelonStock2/scheduling/EchelonStock2.py,examples/models/EchelonStock2/data,csplib+prob040,csplib:prob040,10,
FlexibleJobshop,examples/models/FlexibleJobshop/classical/FlexibleJobshop.py,examples/models/FlexibleJobshop/scheduling/FlexibleJobshop.py,examples/models/FlexibleJobshop/data,PyCSP3,pycsp3-models,5,
FlexibleJobshopScen,examples/models/FlexibleJobshopScen/classical/FlexibleJobshopScen.py,examples/models/FlexibleJobshopScen/scheduling/FlexibleJobshopScen.py,examples/models/FlexibleJobshopScen/data,csplib+prob077,csplib:prob077,9,
LotSizing,examples/models/LotSizing/classical/LotSizing.py,examples/models/LotSizing/scheduling/LotSizing.py,examples/models/LotSizing/data,csplib+prob058,csplib:prob058,59,
MRCPSP,examples/models/MRCPSP/classical/MRCPSP.py,examples/models/MRCPSP/scheduling/MRCPSP.py,examples/models/MRCPSP/data,csplib+realistic+prob060,csplib:prob060,10,
MSPSP,examples/models/MSPSP/classical/MSPSP.py,examples/models/MSPSP/scheduling/MSPSP.py,examples/models/MSPSP/data,PyCSP3,pycsp3-models,6,
NursingWorkload,examples/models/NursingWorkload/classical/NursingWorkload.py,examples/models/NursingWorkload/scheduling/NursingWorkload.py,examples/models/NursingWorkload/data,csplib+prob069,csplib:prob069,12,
RCPSP,examples/models/RCPSP/classical/RCPSP.py,examples/models/RCPSP/scheduling/RCPSP.py,examples/models/RCPSP/data,csplib+PyCSP3+prob061,pycsp3-models,2042,
Rehearsal,examples/models/Rehearsal/classical/Rehearsal.py,examples/models/Rehearsal/scheduling/Rehearsal.py,examples/models/Rehearsal/data,csplib+prob039,csplib:prob039,2,
RotatingRostering,examples/models/RotatingRostering/classical/RotatingRostering.py,examples/models/RotatingRostering/scheduling/RotatingRostering.py,examples/models/RotatingRostering/data,csplib+prob087,csplib:prob087,10,
SchedulingFS,examples/models/SchedulingFS/classical/SchedulingFS.py,examples/models/SchedulingFS/scheduling/SchedulingFS.py,examples/models/SchedulingFS/data,PyCSP3,pycsp3-models,2,
SchedulingJS,examples/models/SchedulingJS/classical/SchedulingJS.py,examples/models/SchedulingJS/scheduling/SchedulingJS.py,examples/models/SchedulingJS/data,PyCSP3,pycsp3-models,2,
SchedulingOS,examples/models/SchedulingOS/classical/SchedulingOS.py,examples/models/SchedulingOS/scheduling/SchedulingOS.py,examples/models/SchedulingOS/data,PyCSP3,pycsp3-models,20,
TestScheduling,examples/models/TestScheduling/classical/TestScheduling.py,examples/models/TestScheduling/scheduling/TestScheduling.py,examples/models/TestScheduling/data,csplib+PyCSP3+prob073,pycsp3-models,31,
TravelingTournamentWithPredefinedVenues,examples/models/TravelingTournamentWithPredefinedVenues/classical/TravelingTournamentWithPredefinedVenues.py,examples/models/TravelingTournamentWithPredefinedVenues/scheduling/TravelingTournamentWithPredefinedVenues.py,examples/models/TravelingTournamentWithPredefinedVenues/data,csplib+prob068,csplib:prob068,20,
